modulation,snr_db_in,trial,symbol_index,phase_mod_stride,in_mse,in_hinge,in_both,also_wrong_in_noproc,noise_mag_at_error,typical_noise_mag
QPSK,10,3,21856,32,True,False,False,False,0.6344427836200022,0.2642252534279714
QPSK,10,3,15970,34,True,True,True,True,0.8412021347025346,0.2642252534279714
QPSK,10,3,20837,37,True,True,True,True,0.7827559588504817,0.2642252534279714
QPSK,10,3,4466,50,False,True,False,False,0.6592010012326488,0.2642252534279714
QPSK,10,3,6771,51,False,True,False,False,0.7153996207786838,0.2642252534279714
QPSK,10,3,1908,52,True,False,False,True,0.7972567295660744,0.2642252534279714
QPSK,10,3,8055,55,True,False,False,True,0.758532786192704,0.2642252534279714
QPSK,10,3,15741,61,True,True,True,True,0.7526348805515386,0.2642252534279714
QPSK,10,3,16767,63,False,True,False,False,0.6479058428198317,0.2642252534279714
QPSK,10,3,14722,2,False,True,False,False,0.7318174243556367,0.2642252534279714
QPSK,10,3,23427,3,True,True,True,False,0.6395987448280284,0.2642252534279714
QPSK,10,3,23172,4,True,True,True,True,0.837112675382545,0.2642252534279714
QPSK,10,3,23943,7,True,True,True,True,0.8981966644741002,0.2642252534279714
QPSK,10,3,14731,11,False,True,False,True,0.7952463264914023,0.2642252534279714
QPSK,10,3,12946,18,True,True,True,False,0.7171988005444442,0.2642252534279714
QPSK,10,3,16022,22,True,True,True,False,0.7624542992589999,0.2642252534279714
QPSK,10,3,12183,23,True,True,True,True,0.7782245578761816,0.2642252534279714
QPSK,10,3,14749,29,True,True,True,True,0.7968051121234587,0.2642252534279714
QPSK,10,3,18846,30,True,False,False,False,0.6875892654064999,0.2642252534279714
QPSK,10,3,13728,32,True,False,False,False,0.6411009393012359,0.2642252534279714
QPSK,10,3,1697,33,False,True,False,False,0.6617668804120411,0.2642252534279714
QPSK,10,3,2212,36,True,True,True,True,0.8344983072624785,0.2642252534279714
QPSK,10,3,11942,38,True,False,False,False,0.6421200579104541,0.2642252534279714
QPSK,10,3,12979,51,True,True,True,True,0.7140397074491138,0.2642252534279714
QPSK,10,3,24502,54,False,True,False,False,0.6282288679308872,0.2642252534279714
