modulation,channel_mode,trial,snr_db_in,method,snr_db_out_vs_postisi_ref,ber,errors,bits
BPSK,random_walk,0,5,NLMS-DD,-0.7974988573922694,0.46924,11731,25000
BPSK,random_walk,0,10,No Processing,10.071991701901158,0.01212,303,25000
BPSK,random_walk,0,10,LMS-Frozen,3.854132959835825,0.0112,280,25000
BPSK,random_walk,0,10,LMS-DD,-0.9107580228821854,0.4806,12015,25000
BPSK,random_walk,0,10,NLMS-Frozen,3.417948616677555,0.01488,372,25000
BPSK,random_walk,0,10,NLMS-DD,-0.9607474735262611,0.48016,12004,25000
BPSK,random_walk,0,15,No Processing,15.102801436820485,0.00504,126,25000
BPSK,random_walk,0,15,LMS-Frozen,4.8885123070870975,0.00016,4,25000
BPSK,random_walk,0,15,LMS-DD,-0.9699194845888637,0.4786,11965,25000
BPSK,random_walk,0,15,NLMS-Frozen,4.318968606967771,0.00028,7,25000
BPSK,random_walk,0,15,NLMS-DD,-0.9752544434255779,0.47696,11924,25000
BPSK,random_walk,1,-5,No Processing,-4.990943286926432,0.24436,6109,25000
BPSK,random_walk,1,-5,LMS-Frozen,0.5746959150901739,0.2798,6995,25000
BPSK,random_walk,1,-5,LMS-DD,-0.4505411975957418,0.4964,12410,25000
BPSK,random_walk,1,-5,NLMS-Frozen,0.5703840572291681,0.28204,7051,25000
BPSK,random_walk,1,-5,NLMS-DD,-0.48961044145316684,0.49752,12438,25000
BPSK,random_walk,1,0,No Processing,0.048490780267141806,0.11712,2928,25000
BPSK,random_walk,1,0,LMS-Frozen,1.362839841832253,0.15876,3969,25000
BPSK,random_walk,1,0,LMS-DD,-0.7997948750048195,0.5002,12505,25000
BPSK,random_walk,1,0,NLMS-Frozen,1.3531969404582247,0.15808,3952,25000
BPSK,random_walk,1,0,NLMS-DD,-0.7499011786600001,0.49784,12446,25000
BPSK,random_walk,1,5,No Processing,5.058005156063796,0.026,650,25000
BPSK,random_walk,1,5,LMS-Frozen,2.256489920857185,0.04832,1208,25000
BPSK,random_walk,1,5,LMS-DD,-0.7994306627863803,0.48056,12014,25000
BPSK,random_walk,1,5,NLMS-Frozen,2.2151671672713955,0.05032,1258,25000
BPSK,random_walk,1,5,NLMS-DD,-0.8539480965542035,0.48556,12139,25000
BPSK,random_walk,1,10,No Processing,10.073879849644534,0.00088,22,25000
BPSK,random_walk,1,10,LMS-Frozen,3.5124799452994337,0.00376,94,25000
BPSK,random_walk,1,10,LMS-DD,-0.8968620161664895,0.482,12050,25000
BPSK,random_walk,1,10,NLMS-Frozen,3.3619148600954003,0.00432,108,25000
BPSK,random_walk,1,10,NLMS-DD,-0.9082285870748223,0.47648,11912,25000
BPSK,random_walk,1,15,No Processing,15.060498282440886,0.0,0,25000
BPSK,random_walk,1,15,LMS-Frozen,4.403203589393446,0.0004,10,25000
BPSK,random_walk,1,15,LMS-DD,-0.9164625339993503,0.4764,11910,25000
BPSK,random_walk,1,15,NLMS-Frozen,4.261504240865661,0.00036,9,25000
BPSK,random_walk,1,15,NLMS-DD,-0.9021361129911376,0.472,11800,25000
BPSK,random_walk,2,-5,No Processing,-4.849077981527008,0.22524,5631,25000
BPSK,random_walk,2,-5,LMS-Frozen,0.5928588381989168,0.26516,6629,25000
BPSK,random_walk,2,-5,LMS-DD,-0.40159784291085154,0.49176,12294,25000
BPSK,random_walk,2,-5,NLMS-Frozen,0.5851247564446562,0.26612,6653,25000
