modulation,channel,isi_energy,snr_db_in,method,ber,errors,bits
QPSK,longer delay spread (4-tap),0.1797,0,MMSE (Genie),0.16043666666666667,48131,300000
QPSK,longer delay spread (4-tap),0.1797,10,MMSE (Genie),0.0021033333333333334,631,300000
QPSK,longer delay spread (4-tap),0.1797,20,MMSE (Genie),0.0,0,300000
QPSK,sign-flipped taps (3-tap),0.27,0,No Processing,0.21391,64173,300000
QPSK,sign-flipped taps (3-tap),0.27,10,No Processing,0.057293333333333335,17188,300000
QPSK,sign-flipped taps (3-tap),0.27,20,No Processing,0.011346666666666666,3404,300000
QPSK,sign-flipped taps (3-tap),0.27,0,LMS,0.19830666666666666,59492,300000
QPSK,sign-flipped taps (3-tap),0.27,10,LMS,0.00404,1212,300000
QPSK,sign-flipped taps (3-tap),0.27,20,LMS,3.3333333333333335e-05,10,300000
QPSK,sign-flipped taps (3-tap),0.27,0,NLMS,0.19950333333333334,59851,300000
QPSK,sign-flipped taps (3-tap),0.27,10,NLMS,0.0054,1620,300000
QPSK,sign-flipped taps (3-tap),0.27,20,NLMS,1e-05,3,300000
QPSK,sign-flipped taps (3-tap),0.27,0,CNN,0.28961333333333333,86884,300000
QPSK,sign-flipped taps (3-tap),0.27,10,CNN,0.21402666666666667,64208,300000
QPSK,sign-flipped taps (3-tap),0.27,20,CNN,0.20526666666666665,61580,300000
QPSK,sign-flipped taps (3-tap),0.27,0,MMSE (Genie),0.19852,59556,300000
QPSK,sign-flipped taps (3-tap),0.27,10,MMSE (Genie),0.12897,38691,300000
QPSK,sign-flipped taps (3-tap),0.27,20,MMSE (Genie),0.13020333333333334,39061,300000
QPSK,"different phase, same taps count",0.2698,0,No Processing,0.18004,54012,300000
QPSK,"different phase, same taps count",0.2698,10,No Processing,0.009896666666666666,2969,300000
QPSK,"different phase, same taps count",0.2698,20,No Processing,0.0,0,300000
QPSK,"different phase, same taps count",0.2698,0,LMS,0.19451,58353,300000
QPSK,"different phase, same taps count",0.2698,10,LMS,0.0022966666666666665,689,300000
QPSK,"different phase, same taps count",0.2698,20,LMS,1.6666666666666667e-05,5,300000
QPSK,"different phase, same taps count",0.2698,0,NLMS,0.19571,58713,300000
QPSK,"different phase, same taps count",0.2698,10,NLMS,0.00296,888,300000
QPSK,"different phase, same taps count",0.2698,20,NLMS,6.666666666666667e-06,2,300000
QPSK,"different phase, same taps count",0.2698,0,CNN,0.16727333333333333,50182,300000
QPSK,"different phase, same taps count",0.2698,10,CNN,0.002013333333333333,604,300000
QPSK,"different phase, same taps count",0.2698,20,CNN,0.0,0,300000
QPSK,"different phase, same taps count",0.2698,0,MMSE (Genie),0.16029666666666667,48089,300000
QPSK,"different phase, same taps count",0.2698,10,MMSE (Genie),0.0014633333333333334,439,300000
QPSK,"different phase, same taps count",0.2698,20,MMSE (Genie),0.0,0,300000
QPSK,single dominant reflection (2-tap),0.2725,0,No Processing,0.16477333333333333,49432,300000
QPSK,single dominant reflection (2-tap),0.2725,10,No Processing,0.0022,660,300000
QPSK,single dominant reflection (2-tap),0.2725,20,No Processing,0.0,0,300000
QPSK,single dominant reflection (2-tap),0.2725,0,LMS,0.19719333333333333,59158,300000
QPSK,single dominant reflection (2-tap),0.2725,10,LMS,0.00303,909,300000
QPSK,single dominant reflection (2-tap),0.2725,20,LMS,1e-05,3,300000
QPSK,single dominant reflection (2-tap),0.2725,0,NLMS,0.19879666666666668,59639,300000
QPSK,single dominant reflection (2-tap),0.2725,10,NLMS,0.003503333333333333,1051,300000
QPSK,single dominant reflection (2-tap),0.2725,20,NLMS,6.666666666666667e-06,2,300000
QPSK,single dominant reflection (2-tap),0.2725,0,CNN,0.19755,59265,300000
QPSK,single dominant reflection (2-tap),0.2725,10,CNN,0.021796666666666666,6539,300000
QPSK,single dominant reflection (2-tap),0.2725,20,CNN,1.3333333333333333e-05,4,300000
QPSK,single dominant reflection (2-tap),0.2725,0,MMSE (Genie),0.15982,47946,300000
QPSK,single dominant reflection (2-tap),0.2725,10,MMSE (Genie),0.0011,330,300000
QPSK,single dominant reflection (2-tap),0.2725,20,MMSE (Genie),0.0,0,300000
